tld,DNSSEC enabled %,DNSSEC Enabled?,#Days of no DNSSEC in 2019,#Days of no DNSSEC in 2020,#Days of no DNSSEC in 2021,#Days of no DNSSEC,First DNSSEC enabled
.now,1.0,enabled,0,0,0,0,2019-01-01
.nowruz,1.0,enabled,0,0,0,0,2019-01-01
.nowtv,1.0,enabled,0,0,0,0,2019-01-01
.nrw,1.0,enabled,0,0,0,0,2019-01-01
.ooo,1.0,enabled,0,0,0,0,2019-01-01
.ntt,1.0,enabled,0,0,0,0,2019-01-01
.nyc,1.0,enabled,0,0,0,0,2019-01-01
.observer,1.0,enabled,0,0,0,0,2019-01-01
.office,1.0,enabled,0,0,0,0,2019-01-01
.okinawa,1.0,enabled,0,0,0,0,2019-01-01
.olayan,1.0,enabled,0,0,0,0,2019-01-01
.olayangroup,1.0,enabled,0,0,0,0,2019-01-01
.oldnavy,1.0,enabled,0,0,0,0,2019-01-01
.ollo,1.0,enabled,0,0,0,0,2019-01-01
.one,1.0,enabled,0,0,0,0,2019-01-01
.ong,1.0,enabled,0,0,0,0,2019-01-01
.onl,1.0,enabled,0,0,0,0,2019-01-01
.online,1.0,enabled,0,0,0,0,2019-01-01
.plumbing,1.0,enabled,0,0,0,0,2019-01-01
.plus,1.0,enabled,0,0,0,0,2019-01-01
.pohl,1.0,enabled,0,0,0,0,2019-01-01
.rio,1.0,enabled,0,0,0,0,2019-01-01
.reise,1.0,enabled,0,0,0,0,2019-01-01
.reisen,1.0,enabled,0,0,0,0,2019-01-01
.rent,1.0,enabled,0,0,0,0,2019-01-01
.rentals,1.0,enabled,0,0,0,0,2019-01-01
.repair,1.0,enabled,0,0,0,0,2019-01-01
.report,1.0,enabled,0,0,0,0,2019-01-01
.republican,1.0,enabled,0,0,0,0,2019-01-01
.rest,1.0,enabled,0,0,0,0,2019-01-01
.restaurant,1.0,enabled,0,0,0,0,2019-01-01
.review,1.0,enabled,0,0,0,0,2019-01-01
.reviews,1.0,enabled,0,0,0,0,2019-01-01
.rich,1.0,enabled,0,0,0,0,2019-01-01
.richardli,1.0,enabled,0,0,0,0,2019-01-01
.rip,1.0,enabled,0,0,0,0,2019-01-01
.poker,1.0,enabled,0,0,0,0,2019-01-01
.rmit,1.0,enabled,0,0,0,0,2019-01-01
.rocher,1.0,enabled,0,0,0,0,2019-01-01
.rocks,1.0,enabled,0,0,0,0,2019-01-01
.rodeo,1.0,enabled,0,0,0,0,2019-01-01
.rogers,1.0,enabled,0,0,0,0,2019-01-01
.room,1.0,enabled,0,0,0,0,2019-01-01
.ruhr,1.0,enabled,0,0,0,0,2019-01-01
.run,1.0,enabled,0,0,0,0,2019-01-01
.saarland,1.0,enabled,0,0,0,0,2019-01-01
.safe,1.0,enabled,0,0,0,0,2019-01-01
.safety,1.0,enabled,0,0,0,0,2019-01-01
.sakura,1.0,enabled,0,0,0,0,2019-01-01
.sale,1.0,enabled,0,0,0,0,2019-01-01
.rehab,1.0,enabled,0,0,0,0,2019-01-01
.redumbrella,1.0,enabled,0,0,0,0,2019-01-01
.redstone,1.0,enabled,0,0,0,0,2019-01-01
.red,1.0,enabled,0,0,0,0,2019-01-01
.politie,1.0,enabled,0,0,0,0,2019-01-01
.porn,1.0,enabled,0,0,0,0,2019-01-01
.post,1.0,enabled,,0,,,2020-01-01
.pramerica,1.0,enabled,0,0,0,0,2019-01-01
.praxi,1.0,enabled,0,0,0,0,2019-01-01
.press,1.0,enabled,0,0,0,0,2019-01-01
.prime,1.0,enabled,0,0,0,0,2019-01-01
.pro,1.0,enabled,0,0,0,0,2019-01-01
.productions,1.0,enabled,0,0,0,0,2019-01-01
.progressive,1.0,enabled,0,0,0,0,2019-01-01
.promo,1.0,enabled,0,0,0,0,2019-01-01
.properties,1.0,enabled,0,0,0,0,2019-01-01
.property,1.0,enabled,0,0,0,0,2019-01-01
.pru,1.0,enabled,0,0,0,0,2019-01-01
.prudential,1.0,enabled,0,0,0,0,2019-01-01
.pub,1.0,enabled,0,0,0,0,2019-01-01
.pwc,1.0,enabled,0,0,0,0,2019-01-01
.qpon,1.0,enabled,0,0,0,0,2019-01-01
.quebec,1.0,enabled,0,0,0,0,2019-01-01
.quest,1.0,enabled,0,0,0,0,2019-01-01
.qvc,1.0,enabled,0,0,0,0,2019-01-01
.racing,1.0,enabled,0,0,0,0,2019-01-01
.radio,1.0,enabled,0,0,0,0,2019-01-01
.read,1.0,enabled,0,0,0,0,2019-01-01
.realestate,1.0,enabled,0,0,0,0,2019-01-01
.realty,1.0,enabled,0,0,0,0,2019-01-01
.recipes,1.0,enabled,0,0,0,0,2019-01-01
.nba,1.0,enabled,0,0,0,0,2019-01-01
.natura,1.0,enabled,0,0,0,0,2019-01-01
.sap,1.0,enabled,0,0,0,0,2019-01-01
.lasalle,1.0,enabled,0,0,0,0,2019-01-01
.kitchen,1.0,enabled,0,0,0,0,2019-01-01
.kiwi,1.0,enabled,0,0,0,0,2019-01-01
.koeln,1.0,enabled,0,0,0,0,2019-01-01
.kosher,1.0,enabled,0,0,0,0,2019-01-01
.kpmg,1.0,enabled,0,0,0,0,2019-01-01
.kpn,1.0,enabled,0,0,0,0,2019-01-01
.krd,1.0,enabled,0,0,0,0,2019-01-01
.lacaixa,1.0,enabled,0,0,0,0,2019-01-01
.lamborghini,1.0,enabled,0,0,0,0,2019-01-01
.lancaster,1.0,enabled,0,0,0,0,2019-01-01
.lancia,1.0,enabled,0,0,0,0,2019-01-01
.land,1.0,enabled,0,0,0,0,2019-01-01
.lanxess,1.0,enabled,0,0,0,0,2019-01-01
.lat,1.0,enabled,0,0,0,0,2019-01-01
.kinder,1.0,enabled,0,0,0,0,2019-01-01
.latino,1.0,enabled,0,0,0,0,2019-01-01
.latrobe,1.0,enabled,0,0,0,0,2019-01-01
.law,1.0,enabled,0,0,0,0,2019-01-01
.lawyer,1.0,enabled,0,0,0,0,2019-01-01
.lds,1.0,enabled,0,0,0,0,2019-01-01
.lease,1.0,enabled,0,0,0,0,2019-01-01
.leclerc,1.0,enabled,0,0,0,0,2019-01-01
.legal,1.0,enabled,0,0,0,0,2019-01-01
.lgbt,1.0,enabled,0,0,0,0,2019-01-01
.lidl,1.0,enabled,0,0,0,0,2019-01-01
.life,1.0,enabled,0,0,0,0,2019-01-01
.lifeinsurance,1.0,enabled,0,0,0,0,2019-01-17
.lighting,1.0,enabled,0,0,0,0,2019-01-01
.kindle,1.0,enabled,0,0,0,0,2019-01-01
.kim,1.0,enabled,0,0,0,0,2019-01-01
.name,1.0,enabled,,0,,,2020-01-01
.istanbul,1.0,enabled,0,0,0,0,2019-01-01
.info,1.0,enabled,,0,,,2020-01-01
.ink,1.0,enabled,0,0,0,0,2019-01-01
.institute,1.0,enabled,0,0,0,0,2019-01-01
.insurance,1.0,enabled,0,0,0,0,2019-01-01
.insure,1.0,enabled,0,0,0,0,2019-01-01
.int,1.0,enabled,,0,,,2020-01-01
.intel,1.0,enabled,0,0,,,2019-01-01
.international,1.0,enabled,0,0,0,0,2019-01-01
.investments,1.0,enabled,0,0,0,0,2019-01-01
.irish,1.0,enabled,0,0,0,0,2019-01-01
.iselect,1.0,enabled,0,,,,2019-01-01
.ismaili,1.0,enabled,0,0,0,0,2019-01-01
.ist,1.0,enabled,0,0,0,0,2019-01-01
.itv,1.0,enabled,0,0,0,0,2019-01-01
.kaufen,1.0,enabled,0,0,0,0,2019-01-01
.iveco,1.0,enabled,0,0,0,0,2019-01-01
.jcp,1.0,enabled,0,0,,,2019-01-01
.jeep,1.0,enabled,0,0,0,0,2019-01-01
.jetzt,1.0,enabled,0,0,0,0,2019-01-01
.jewelry,1.0,enabled,0,0,0,0,2019-01-01
.jll,1.0,enabled,0,0,0,0,2019-01-01
.jmp,1.0,enabled,0,0,0,0,2019-01-01
.jnj,1.0,enabled,0,0,0,0,2019-01-01
.jobs,1.0,enabled,0,0,0,0,2019-01-01
.jot,1.0,enabled,0,0,0,0,2019-01-01
.joy,1.0,enabled,0,0,0,0,2019-01-01
.jprs,1.0,enabled,0,0,0,0,2019-01-01
.juegos,1.0,enabled,0,0,0,0,2019-01-01
.like,1.0,enabled,0,0,0,0,2019-01-01
.lilly,1.0,enabled,0,0,0,0,2019-01-01
.limited,1.0,enabled,0,0,0,0,2019-01-01
.moi,1.0,enabled,0,0,0,0,2019-01-01
.men,1.0,enabled,0,0,0,0,2019-01-01
.menu,1.0,enabled,0,0,0,0,2019-01-01
.miami,1.0,enabled,0,0,0,0,2019-01-01
.mil,1.0,enabled,,0,,,2020-01-01
.mini,1.0,enabled,0,0,0,0,2019-01-01
.mit,1.0,enabled,0,0,0,0,2019-01-01
.mlb,1.0,enabled,0,0,0,0,2019-01-01
.mma,1.0,enabled,0,0,0,0,2019-01-01
.mobi,1.0,enabled,,0,,,2020-01-01
.mobile,1.0,enabled,0,0,0,0,2019-01-01
.mobily,1.0,enabled,0,,,,2019-01-01
.moda,1.0,enabled,0,0,0,0,2019-01-01
.moe,1.0,enabled,0,0,0,0,2019-01-01
.mom,1.0,enabled,0,0,0,0,2019-01-01
.limo,1.0,enabled,0,0,0,0,2019-01-01
.monash,1.0,enabled,0,0,0,0,2019-01-01
.money,1.0,enabled,0,0,0,0,2019-01-01
.mopar,1.0,enabled,0,,,,2019-01-01
.mormon,1.0,enabled,0,0,0,0,2019-01-01
.mortgage,1.0,enabled,0,0,0,0,2019-01-01
.moscow,1.0,enabled,0,0,0,0,2019-01-01
.motorcycles,1.0,enabled,0,0,0,0,2019-01-01
.movie,1.0,enabled,0,0,0,0,2019-01-01
.movistar,1.0,enabled,0,,,,2019-01-01
.mtn,1.0,enabled,0,0,0,0,2019-01-01
.mtr,1.0,enabled,0,0,0,0,2019-01-01
.museum,1.0,enabled,0,0,0,0,2019-01-01
.mutual,1.0,enabled,0,0,0,0,2019-01-01
.memorial,1.0,enabled,0,0,0,0,2019-01-01
.melbourne,1.0,enabled,0,0,0,0,2019-01-01
.media,1.0,enabled,0,0,0,0,2019-01-01
.mba,1.0,enabled,0,0,0,0,2019-01-01
.lincoln,1.0,enabled,0,0,0,0,2019-01-01
.link,1.0,enabled,0,0,0,0,2019-01-01
.live,1.0,enabled,0,0,0,0,2019-01-01
.llc,1.0,enabled,0,0,0,0,2019-01-01
.loan,1.0,enabled,0,0,0,0,2019-01-01
.loans,1.0,enabled,0,0,0,0,2019-01-01
.locker,1.0,enabled,0,0,0,0,2019-01-01
.locus,1.0,enabled,0,0,0,0,2019-01-01
.lol,1.0,enabled,0,0,0,0,2019-01-01
.london,1.0,enabled,0,0,0,0,2019-01-01
.lotto,1.0,enabled,0,0,0,0,2019-01-01
.lpl,1.0,enabled,0,0,0,0,2019-01-01
.lplfinancial,1.0,enabled,0,0,0,0,2019-01-01
.ltd,1.0,enabled,0,0,0,0,2019-01-01
.ltda,1.0,enabled,0,0,0,0,2019-01-01
.luxe,1.0,enabled,0,0,0,0,2019-01-01
.madrid,1.0,enabled,0,0,0,0,2019-01-01
.maison,1.0,enabled,0,0,0,0,2019-01-01
.man,1.0,enabled,0,0,0,0,2019-01-01
.management,1.0,enabled,0,0,0,0,2019-01-01
.mango,1.0,enabled,0,0,0,0,2019-01-01
.market,1.0,enabled,0,0,0,0,2019-01-01
.marketing,1.0,enabled,0,0,0,0,2019-01-01
.markets,1.0,enabled,0,0,0,0,2019-01-01
.marriott,1.0,enabled,0,0,0,0,2019-01-01
.marshalls,1.0,enabled,0,0,0,0,2019-01-01
.mattel,1.0,enabled,0,0,0,0,2019-01-01
.salon,1.0,enabled,0,0,0,0,2019-01-01
.sarl,1.0,enabled,0,0,0,0,2019-01-01
.inc,1.0,enabled,0,0,0,0,2019-01-01
.wow,1.0,enabled,0,0,0,0,2019-01-01
.weibo,1.0,enabled,0,0,0,0,2019-01-01
.whoswho,1.0,enabled,0,0,0,0,2019-01-01
.wien,1.0,enabled,0,0,0,0,2019-01-01
.wiki,1.0,enabled,0,0,0,0,2019-01-01
.williamhill,1.0,enabled,0,0,0,0,2019-01-01
.win,1.0,enabled,0,0,0,0,2019-01-01
.wine,1.0,enabled,0,0,0,0,2019-01-01
.winners,1.0,enabled,0,0,0,0,2019-01-01
.wolterskluwer,1.0,enabled,0,0,0,0,2019-01-01
.woodside,1.0,enabled,0,0,0,0,2019-01-01
.work,1.0,enabled,0,0,0,0,2019-01-01
.works,1.0,enabled,0,0,0,0,2019-01-01
.world,1.0,enabled,0,0,0,0,2019-01-01
.wtc,1.0,enabled,0,0,0,0,2019-01-01
.wed,1.0,enabled,,,0,,2021-06-17
.wtf,1.0,enabled,0,0,0,0,2019-01-01
.xfinity,1.0,enabled,0,0,0,0,2019-01-01
.xihuan,1.0,enabled,0,0,0,0,2019-01-01
.xin,1.0,enabled,0,0,0,0,2019-01-01
.xn--1ck2e1b,1.0,enabled,0,0,0,0,2019-01-01
.xn--3ds443g,1.0,enabled,0,0,0,0,2019-01-01
.xn--3oq18vl8pn36a,1.0,enabled,0,0,0,0,2019-01-01
.xn--4gbrim,1.0,enabled,0,0,0,0,2019-02-10
.xn--55qw42g,1.0,enabled,0,0,0,0,2019-01-01
.xn--5tzm5g,1.0,enabled,0,0,0,0,2019-01-01
.xn--6frz82g,1.0,enabled,0,0,0,0,2019-01-01
.xn--80adxhks,1.0,enabled,0,0,0,0,2019-01-01
.xn--80aqecdr1a,1.0,enabled,0,0,0,0,2019-01-01
.wedding,1.0,enabled,0,0,0,0,2019-01-01
.website,1.0,enabled,0,0,0,0,2019-01-01
.university,1.0,enabled,0,0,0,0,2019-01-01
.virgin,1.0,enabled,0,0,0,0,2019-01-01
.uol,1.0,enabled,0,0,0,0,2019-01-01
.vacations,1.0,enabled,0,0,0,0,2019-01-01
.vegas,1.0,enabled,0,0,0,0,2019-01-01
.ventures,1.0,enabled,0,0,0,0,2019-01-01
.versicherung,1.0,enabled,0,0,0,0,2019-01-01
.vet,1.0,enabled,0,0,0,0,2019-01-01
.viajes,1.0,enabled,0,0,0,0,2019-01-01
.video,1.0,enabled,0,0,0,0,2019-01-01
.vig,1.0,enabled,0,0,0,0,2019-01-01
.viking,1.0,enabled,0,0,0,0,2019-01-01
.villas,1.0,enabled,0,0,0,0,2019-01-01
.vin,1.0,enabled,0,0,0,0,2019-01-01
.vip,1.0,enabled,0,0,0,0,2019-01-01
.vision,1.0,enabled,0,0,0,0,2019-01-01
.webcam,1.0,enabled,0,0,0,0,2019-01-01
.vistaprint,1.0,enabled,0,0,,,2019-01-01
.vivo,1.0,enabled,0,0,0,0,2019-01-01
.vlaanderen,1.0,enabled,0,0,0,0,2019-01-01
.vodka,1.0,enabled,0,0,0,0,2019-01-01
.volkswagen,1.0,enabled,0,0,0,0,2019-01-01
.vote,1.0,enabled,0,0,0,0,2019-01-01
.voto,1.0,enabled,0,0,0,0,2019-01-01
.voyage,1.0,enabled,0,0,0,0,2019-01-01
.vuelos,1.0,enabled,0,0,0,0,2019-01-01
.wales,1.0,enabled,0,0,0,0,2019-01-01
.wang,1.0,enabled,0,0,0,0,2019-01-01
.wanggou,1.0,enabled,0,0,0,0,2019-01-01
.watch,1.0,enabled,0,0,0,0,2019-01-01
.xn--80asehdb,1.0,enabled,0,0,0,0,2019-01-01
.xn--80aswg,1.0,enabled,0,0,0,0,2019-01-01
.xn--9krt00a,1.0,enabled,0,0,0,0,2019-01-01
.xxx,1.0,enabled,0,0,0,0,2019-01-01
.xn--p1acf,1.0,enabled,0,0,0,0,2019-01-01
.xn--p1ai,1.0,enabled,,0,,,2020-01-01
.xn--pbt977c,1.0,enabled,0,0,,,2019-01-01
.xn--q9jyb4c,1.0,enabled,0,0,0,0,2019-01-01
.xn--rhqv96g,1.0,enabled,0,0,0,0,2019-01-01
.xn--rovu88b,1.0,enabled,0,0,0,0,2019-01-01
.xn--t60b56a,1.0,enabled,0,0,0,0,2019-01-01
.xn--tckwe,1.0,enabled,0,0,0,0,2019-01-01
.xn--tiq49xqyj,1.0,enabled,0,0,0,0,2019-01-01
.xn--vermgensberater-ctb,1.0,enabled,0,0,0,0,2019-01-01
.xn--vermgensberatung-pwb,1.0,enabled,0,0,0,0,2019-01-01
.xn--vuq861b,1.0,enabled,0,0,0,0,2019-05-30
.xn--zfr164b,1.0,enabled,0,0,0,0,2019-01-01
.xyz,1.0,enabled,0,0,0,0,2019-01-01
.xn--b4w605ferd,1.0,enabled,0,0,0,0,2019-01-01
.yachts,1.0,enabled,0,0,0,0,2019-01-01
.yahoo,1.0,enabled,0,0,0,0,2019-01-01
.yamaxun,1.0,enabled,0,0,0,0,2019-01-01
.yandex,1.0,enabled,0,0,0,0,2019-01-01
.yoga,1.0,enabled,0,0,0,0,2019-01-01
.yokohama,1.0,enabled,0,0,0,0,2019-01-01
.you,1.0,enabled,0,0,0,0,2019-01-01
.yun,1.0,enabled,0,0,0,0,2019-01-01
.zappos,1.0,enabled,0,0,0,0,2019-01-01
.zara,1.0,enabled,0,0,0,0,2019-01-01
.zero,1.0,enabled,0,0,0,0,2019-01-01
.zippo,1.0,enabled,0,,,,2019-01-01
.zone,1.0,enabled,0,0,0,0,2019-01-01
.xn--nyqy26a,1.0,enabled,0,0,0,0,2019-01-01
.xn--nqv7fs00ema,1.0,enabled,0,0,0,0,2019-01-01
.xn--nqv7f,1.0,enabled,0,0,0,0,2019-01-01
.xn--ngbrx,1.0,enabled,0,0,0,0,2019-01-01
.xn--bck1b9a5dre4c,1.0,enabled,0,0,0,0,2019-01-01
.xn--c1avg,1.0,enabled,0,0,0,0,2019-01-01
.xn--cck2b3b,1.0,enabled,0,0,0,0,2019-01-01
.xn--cckwcxetd,1.0,enabled,,0,0,,2020-06-05
.xn--d1acj3b,1.0,enabled,0,0,0,0,2019-01-01
.xn--eckvdtc9d,1.0,enabled,0,0,0,0,2019-01-01
.xn--estv75g,1.0,enabled,0,0,,,2019-01-01
.xn--fct429k,1.0,enabled,0,0,0,0,2019-01-01
.xn--fiq228c5hs,1.0,enabled,0,0,0,0,2019-01-01
.xn--fzys8d69uvgm,1.0,enabled,0,0,0,0,2019-01-01
.xn--g2xx48c,1.0,enabled,0,0,0,0,2019-01-01
.xn--gckr3f0f,1.0,enabled,0,0,0,0,2019-01-01
.xn--gk3at1e,1.0,enabled,0,0,0,0,2019-01-01
.xn--i1b6b1a6a2e,1.0,enabled,0,0,0,0,2019-01-01
.xn--jlq480n2rg,1.0,enabled,,0,0,,2020-06-05
.xn--jlq61u9w7b,1.0,enabled,0,0,0,0,2019-01-01
.xn--jvr189m,1.0,enabled,0,0,0,0,2019-01-01
.xn--kcrx77d1x4a,1.0,enabled,0,0,0,0,2019-01-01
.xn--kpu716f,1.0,enabled,0,0,,,2019-01-01
.xn--mgba7c0bbn0a,1.0,enabled,0,0,0,0,2019-01-01
.xn--mgbab2bd,1.0,enabled,0,0,0,0,2019-01-01
.xn--mgbb9fbpob,1.0,enabled,0,,,,2019-01-01
.xn--mgbca7dzdo,1.0,enabled,0,0,0,0,2019-01-01
.xn--mgbi4ecexp,1.0,enabled,0,0,0,0,2019-01-01
.xn--mgbt3dhd,1.0,enabled,0,0,0,0,2019-01-01
.xn--mk1bu44c,1.0,enabled,0,0,0,0,2019-01-01
.xn--ngbc5azd,1.0,enabled,0,0,0,0,2019-01-01
.uno,1.0,enabled,0,0,0,0,2019-01-01
.uconnect,1.0,enabled,0,,,,2019-01-01
.sas,1.0,enabled,0,0,0,0,2019-01-01
.soy,1.0,enabled,0,0,0,0,2019-01-01
.singles,1.0,enabled,0,0,0,0,2019-01-01
.site,1.0,enabled,0,0,0,0,2019-01-01
.ski,1.0,enabled,0,0,0,0,2019-01-01
.skype,1.0,enabled,0,0,0,0,2019-01-01
.sling,1.0,enabled,0,0,0,0,2019-01-01
.smile,1.0,enabled,0,0,0,0,2019-01-01
.sncf,1.0,enabled,0,0,0,0,2019-01-01
.soccer,1.0,enabled,0,0,0,0,2019-01-01
.social,1.0,enabled,0,0,0,0,2019-01-01
.software,1.0,enabled,0,0,0,0,2019-01-01
.solar,1.0,enabled,0,0,0,0,2019-01-01
.solutions,1.0,enabled,0,0,0,0,2019-01-01
.song,1.0,enabled,0,0,0,0,2019-01-01
.spa,1.0,enabled,,,0,,2021-01-12
.silk,1.0,enabled,0,0,0,0,2019-01-01
.space,1.0,enabled,0,0,0,0,2019-01-01
.sport,1.0,enabled,0,0,0,0,2019-01-01
.spot,1.0,enabled,0,0,0,0,2019-01-01
.srl,1.0,enabled,0,0,0,0,2019-01-01
.srt,1.0,enabled,0,,,,2019-01-01
.stada,1.0,enabled,0,0,0,0,2019-01-01
.staples,1.0,enabled,0,0,0,0,2019-01-01
.star,1.0,enabled,0,0,0,0,2019-01-01
.starhub,1.0,enabled,0,,,,2019-01-01
.statefarm,1.0,enabled,0,0,0,0,2019-01-01
.stockholm,1.0,enabled,0,0,0,0,2019-01-01
.storage,1.0,enabled,0,0,0,0,2019-01-01
.store,1.0,enabled,0,0,0,0,2019-01-01
.sina,1.0,enabled,0,0,0,0,2019-01-01
.shriram,1.0,enabled,0,0,,,2019-01-01
.tvs,1.0,enabled,0,0,0,0,2019-01-01
.select,1.0,enabled,0,0,0,0,2019-01-01
.save,1.0,enabled,0,0,0,0,2019-01-01
.schmidt,1.0,enabled,0,0,0,0,2019-01-01
.scholarships,1.0,enabled,0,0,0,0,2019-01-01
.school,1.0,enabled,0,0,0,0,2019-01-01
.schule,1.0,enabled,0,0,0,0,2019-01-01
.schwarz,1.0,enabled,0,0,0,0,2019-01-01
.science,1.0,enabled,0,0,0,0,2019-01-01
.scor,1.0,enabled,0,0,,,2019-01-01
.scot,1.0,enabled,0,0,0,0,2019-01-01
.seat,1.0,enabled,0,0,0,0,2019-01-01
.secure,1.0,enabled,0,0,0,0,2019-01-01
.security,1.0,enabled,0,0,0,0,2019-01-01
.seek,1.0,enabled,0,0,0,0,2019-01-01
.services,1.0,enabled,0,0,0,0,2019-01-01
.showtime,1.0,enabled,0,0,0,0,2019-01-01
.seven,1.0,enabled,0,0,0,0,2019-01-01
.sew,1.0,enabled,0,0,0,0,2019-01-01
.sex,1.0,enabled,0,0,0,0,2019-01-01
.sexy,1.0,enabled,0,0,0,0,2019-01-01
.sfr,1.0,enabled,0,0,0,0,2019-01-01
.shell,1.0,enabled,0,0,0,0,2019-01-01
.shia,1.0,enabled,0,0,0,0,2019-01-01
.shiksha,1.0,enabled,0,0,0,0,2019-01-01
.shoes,1.0,enabled,0,0,0,0,2019-01-01
.shop,1.0,enabled,0,0,0,0,2019-01-01
.shopping,1.0,enabled,0,0,0,0,2019-01-01
.shouji,1.0,enabled,0,0,0,0,2019-01-01
.show,1.0,enabled,0,0,0,0,2019-01-01
.stream,1.0,enabled,0,0,0,0,2019-01-01
.studio,1.0,enabled,0,0,0,0,2019-01-01
.study,1.0,enabled,0,0,0,0,2019-01-01
.tours,1.0,enabled,0,0,0,0,2019-01-01
.tienda,1.0,enabled,0,0,0,0,2019-01-01
.tips,1.0,enabled,0,0,0,0,2019-01-01
.tires,1.0,enabled,0,0,0,0,2019-01-01
.tirol,1.0,enabled,0,0,0,0,2019-01-01
.tjmaxx,1.0,enabled,0,0,0,0,2019-01-01
.tjx,1.0,enabled,0,0,0,0,2019-01-01
.tkmaxx,1.0,enabled,0,0,0,0,2019-01-01
.tmall,1.0,enabled,0,0,0,0,2019-01-01
.today,1.0,enabled,0,0,0,0,2019-01-01
.tokyo,1.0,enabled,0,0,0,0,2019-01-01
.tools,1.0,enabled,0,0,0,0,2019-01-01
.top,1.0,enabled,0,0,0,0,2019-01-01
.total,1.0,enabled,0,0,,,2019-01-01
.town,1.0,enabled,0,0,0,0,2019-01-01
.style,1.0,enabled,0,0,0,0,2019-01-01
.toys,1.0,enabled,0,0,0,0,2019-01-01
.trade,1.0,enabled,0,0,0,0,2019-01-01
.trading,1.0,enabled,0,0,0,0,2019-01-01
.training,1.0,enabled,0,0,0,0,2019-01-01
.travel,1.0,enabled,0,0,0,0,2019-01-01
.travelers,1.0,enabled,0,0,0,0,2019-01-01
.travelersinsurance,1.0,enabled,0,0,0,0,2019-01-01
.trust,1.0,enabled,0,0,0,0,2019-01-01
.trv,1.0,enabled,0,0,0,0,2019-01-01
.tube,1.0,enabled,0,0,0,0,2019-01-01
.tui,1.0,enabled,0,0,0,0,2019-01-01
.tunes,1.0,enabled,0,0,0,0,2019-01-01
.tushu,1.0,enabled,0,0,0,0,2019-01-01
.tickets,1.0,enabled,0,0,0,0,2019-01-01
.theater,1.0,enabled,0,0,0,0,2019-01-01
.teva,1.0,enabled,0,0,0,0,2019-01-01
.tennis,1.0,enabled,0,0,0,0,2019-01-01
.sucks,1.0,enabled,0,0,0,0,2019-01-01
.supplies,1.0,enabled,0,0,0,0,2019-01-01
.supply,1.0,enabled,0,0,0,0,2019-01-01
.support,1.0,enabled,0,0,0,0,2019-01-01
.surf,1.0,enabled,0,0,0,0,2019-01-01
.surgery,1.0,enabled,0,0,0,0,2019-01-01
.swiftcover,1.0,enabled,0,0,0,0,2019-01-01
.swiss,1.0,enabled,0,0,0,0,2019-01-01
.sydney,1.0,enabled,0,0,0,0,2019-01-01
.systems,1.0,enabled,0,0,0,0,2019-01-01
